"Export time: 8/6/2022, 7:23:19 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","256","Maybelline Fit Me Matte + Poreless Liquid Foundation Makeup Natural Beige 1 fl; oz; Oil-Free Foundation","Maybelline New York","$6.37","27037","901","$172226","04/19/2015","$2.32","111148","4.5","$4.05","72","Beauty & Personal Care","B00PFCSURS","https://www.amazon.com/dp/B00PFCSURS"
"","","257","Microfiber Velvet Makeup Sponge Latex-Free Dual Layer Technology Flawless Makeup Blender for Foundations Powders and Creams Tear Drop Cosmetic Tool (1PcsBlue)","AHPIPIL","$4.99","330","11","$1647","05/12/2020","$1.05","1305","4","$3.94","39740","Beauty & Personal Care","B0834C79MN","https://www.amazon.com/dp/B0834C79MN"
"","","258","FantaSea Cosmetic Sponge Red 2 Piece","Fantasea","$5.99","25","0","$150","12/26/2010","$1.97","424","4.5","$4.02","77329","Beauty & Personal Care","B000NIY938","https://www.amazon.com/dp/B000NIY938"
"","","259","NaFurAhi Makeup Sponge Case Cute Cat Shaped Containers Silicon made Perfect for Traveling Keep Makeup Sponges in a Safe &Sanitary with 2 Fashion Hair Clips &2 Sponge Holders (Green+Purple)","NaFurAhi","$8.98","20","0","$180","02/23/2020","$4.49","194","4.7","$4.49","186881","Beauty & Personal Care","B0831PSYHW","https://www.amazon.com/dp/B0831PSYHW"
"","","260","Swissco Makeup Sponges Beauty Cosmetic 8 pc Square Shaped Set for Makeup Application & Removal","Swissco","$5.79","3","0","$17","09/17/2014","$2.41","47","4","$3.38","145782","Beauty & Personal Care","B005Z74M8Y","https://www.amazon.com/dp/B005Z74M8Y"
"","","261","60 Pieces Facial Sponges with Container Heart Shape Compressed Face Sponge Natural Sponge Pads for Washing Face Cleansing Exfoliating Esthetician Makeup Removal Pink","Nuenen","$16.99","916","30","$15563","07/29/2021","$10.9","127","4.5","$6.09","13053","Beauty & Personal Care","B098X2NY8V","https://www.amazon.com/dp/B098X2NY8V"
"","","262","8 PCS Makeup Sponge Set Makeup Sponges Blender Latex-Free Vegan Beauty Sponge Professional Beauty Sponge Blender Makeup Egg Foundation Blending Cosmetic Makeup Puff for Powder Cream","QD O-SHEN","$10.99","511","17","$5616","05/15/2021","$5.57","335","4.6","$5.42","67849","Beauty & Personal Care","B091CDLXJC","https://www.amazon.com/dp/B091CDLXJC"
"","","263","Makeup Sponges for Foundation - Beauty Blender Sponge - Beauty Sponge Multi-colored Makeup Blender Set-7pcs ( 5 pieces normal size and 2 mini size)","Liriaelf","$10.00","310","10","$3100","09/22/2021","$5.66","296","4.5","$4.34","48206","Beauty & Personal Care","B09CKY8MN3","https://www.amazon.com/dp/B09CKY8MN3"
"","","264","Ecotools Beauty Makeup Sponge Set 4 Blenders With Sponge and Brush Cleaner Includes Travel Accessory Case","EcoTools","$6.35","1016","33","$6452","12/11/2017","$2.07","2149","4.3","$4.28","32577","Beauty & Personal Care","B08DNFXNQM","https://www.amazon.com/dp/B08DNFXNQM"
"","","265","Makeup Blender Beauty SpongeBeautypapa Blending Sponge Cosmtics puffFoundation CreamFlawless for LiquidSuit for Concealer Contouring Powder 2 pcs","Beautypapa","$3.49","113","3","$394","05/09/2019","$0.27","1637","4.5","$3.22","110805","Beauty & Personal Care","B07G524ZB3","https://www.amazon.com/dp/B07G524ZB3"
"","","266","2 Pack Silicone Makeup Sponge [Washable] Premium Quality - Gel Foundation Makeup and Puff BB - Best Silisponge Cosmetic Beauty Tools Blender [Clear]","Nylea","$5.99","384","12","$2300","02/20/2017","$2.59","3389","3.8","$3.40","47842","Beauty & Personal Care","B01N4P37JT","https://www.amazon.com/dp/B01N4P37JT"
"","","267","Cheap 5Pcs Beauty Blender Makeup Sponge Beauty Blender Sponge Beauty Foundation Blending Sponge Flawless for Liquid Cream and Powder Multi-Colored By YUESHENNAN","YUE SHEN NAN","$4.09","48","1","$196","02/03/2021","$0.22","131","4.5","$3.87","174766","Beauty & Personal Care","B08VDLN3SM","https://www.amazon.com/dp/B08VDLN3SM"
