"Export time: 8/7/2022, 3:02:41 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","42","EcoTools Travel and Glow 3 Piece Makeup Brush Set 3 Full Size Brushes Blotting Papers and Makeup Gym Bag For Quick Applications","EcoTools","$7.98","42","0","$335","12/17/2019","$3.8","176","4.6","$4.18","269558","Beauty & Personal Care","B07YJPWN66","https://www.amazon.com/EcoTools-Travel-Brush-Beige-Green/dp/B07YJPWN66/ref=sr_1_51?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-51"
"","","43","Real Techniques Eyeshadow Brush Set Makeup with Gel Eyeliner Flat Eye and Eyelash Brushes Purple 8 Piece","Real Techniques","$16.32","2171","58","$35431","11/03/2020","$10.33","3134","4.7","$5.99","9652","Beauty & Personal Care","B08BX1V7CS","https://www.amazon.com/Real-Techniques-Everyday-Eye-Essentials/dp/B08BX1V7CS/ref=sr_1_52?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-52"
"","","44","Real Techniques Eye Shade & Blend Makeup Brush Trio For Layering Powder Shadows Evenly Shaping & Grooming Brows Defined Makeup Look 3 Count","Real Techniques","$5.99","2152","85","$12890","01/09/2019","$2.59","8461","4.7","$3.40","6415","Beauty & Personal Care","B01N1MKXEM","https://www.amazon.com/Real-Techniques-Makeup-Powder-Eyeshadow/dp/B01N1MKXEM/ref=sr_1_53?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-53"
"","","45","LAURA GELLER NEW YORK High Kabuki Brush & Full Face Powder Makeup Brush Set  Makeup Brushes for Liquid Cream Powder Foundation Concealer Blush Bronzer Setting Powder & Highlighter  Sheer to Full Coverage","LAURA GELLER NEW YORK","$31.18","1233","6","$38445","11/29/2020","$22.96","47","4.6","$8.22","58114","Beauty & Personal Care","B08N1DXZK4","https://www.amazon.com/LAURA-GELLER-NEW-YORK-Blending/dp/B08N1DXZK4/ref=sr_1_54?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-54"
"","","46","AMMIY Makeup Brushes 10pcs Unicorn Makeup Brushes Set With Colorful Bristles Unicorn Horn Shaped Handles Fantasy Makeup Brush Foundation Eyeshadow Unicorn Brush Kit With a Cute Iridescent Carrying Case","AMMIY","$7.99","1272","35","$10163","06/10/2017","$3.81","8624","4.7","$4.18","15883","Beauty & Personal Care","B071HLVC4W","https://www.amazon.com/Colorful-Bristles-Foundation-Eyeshadow-Iridescent/dp/B071HLVC4W/ref=sr_1_55?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-55"
"","","47","16PCs Marble Makeup Brushes Set Premium Synthetic Face Eye Lip Make Up Brush Kits for Foundation PowderEyeshadowEyebrowEyelashEyelinerBlendingConcealerContourHighlight (Pink)","111","$6.99","120","4","$839","08/28/2021","$2.89","414","4.5","$4.10","79109","Beauty & Personal Care","B09CMP6KS7","https://www.amazon.com/Synthetic-Foundation-Eyeshadow-Concealer-Highlight/dp/B09CMP6KS7/ref=sr_1_56?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-56"
"","","48","Natural Bamboo Makeup Brushes 6pcs Mini Cosmetic Makeup Brushes Set With Travel Bag Case Powder Blush Eye Shadows Eyebrow Make Up Brushes Kit(Beige)","ZZIHAN","$9.97","203","6","$2024","06/30/2019","$6.25","223","4.4","$3.72","59052","Beauty & Personal Care","B08DTGK4Z6","https://www.amazon.com/Natural-Brushes-Cosmetic-Shadows-Eyebrow/dp/B08DTGK4Z6/ref=sr_1_57?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-57"
"","","49","MAANGE Makeup Brushes 12 Pcs Professional Synthetic Makeup Brush Set With Holder Foundation Contour Powder Concealer Eye Shadow Make Up Brush","MAANGE","$17.99","74","1","$1331","03/11/2021","$11.52","406","4.4","$6.47","154564","Beauty & Personal Care","B08VD2WDFW","https://www.amazon.com/MAANGE-Professional-Synthetic-Foundation-Concealer/dp/B08VD2WDFW/ref=sr_1_53?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-53"
"","","50","ENZO KEN Vegan Bamboo Makeup Brush Set Travel Makeup Brushes Set with Portable Case - Eye Eyeshadow Blending Complete Brushes Sets with Bag Face Contour Bronzer Cosmetic Brushes Sets & Kits","ENZO KEN","$28.99","81","1","$2348","11/21/2017","$21.1","44","4.5","$7.89","162599","Beauty & Personal Care","B0974ZW5SL","https://www.amazon.com/ENZO-KEN-Blending-Eyeshadow-Foundation/dp/B0974ZW5SL/ref=sr_1_54?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-54"
"","","51","Makeup Brushes DUAIU 15PCs Marble Makeup Brush Set Premium Synthetic Kabuki Powder Blush Contour Foundation Concealer Eyeshadow Brushes with Makeup Sponge and Cleaner Brush Egg","DUAIU","$9.99","4592","138","$45874","10/21/2020","$5.42","5720","4.6","$4.57","3579","Beauty & Personal Care","B08HQYSN7M","https://www.amazon.com/DUAIU-Synthetic-Foundation-Concealer-Eyeshadow/dp/B08HQYSN7M/ref=sr_1_55?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-55"
