"Export time: 8/6/2022, 8:45:40 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","46","Chunky Glitter Flakes12 Colors Holographic Chunky Sequins Irregular Iridescent Sparkles Glitters Confetti Craft Supplies for Epoxy/Tumblers/Slime Nail Art Design Resin","Niuvresinkit","$15.99","60","2","$959","03/28/2022","$10.05","0","","$5.94","55877","Arts Crafts & Sewing","B09WRFKNHZ","https://www.amazon.com/dp/B09WRFKNHZ"
"","","47","Lrisy Holographic Extra Fine Glitter Powder with Shaker Lid Craft Glitter Sequins for Epoxy Resin SlimeTumblersNail&Painting Arts 140g/4.5oz (Ultra Thin Holographic Silver)","Lrisy's","$12.99","1483","49","$19264","10/19/2021","$7.27","282","4.7","$5.72","1596","Arts Crafts & Sewing","B09JWV3MV9","https://www.amazon.com/dp/B09JWV3MV9"
"","","48","Sliver Body Glitter Gel for Women & Girls Glitter Eyeshadow Easy to Apply&Remove Mermaid Sequins Chunky Glitter for Body Face Hair Nails Festival Glitter Halloween Costume Makeup(01 Sliver)","JUNRUO","$5.99","345","11","$2067","06/06/2022","$1.97","7","4.7","$4.02","35415","Beauty & Personal Care","B0B1VJ78HW","https://www.amazon.com/dp/B0B1VJ78HW"
"","","49","Pacon Spectra Glitter Sparkling Crystals Assorted Colors 4-Ounce 6-Pack (91370)","PACON","$23.26","215","7","$5001","11/12/2006","$14.63","405","4.7","$8.63","22392","Arts Crafts & Sewing","B000AN35VI","https://www.amazon.com/dp/B000AN35VI"
"","","50","Mysense Body Glitter Spray Glitter Body Spray for Hair Glitter and Body Shimmer Highlighter Powder Holographic Shimmer Spray Glitter","Mysense","$14.99","90","3","$1349","06/22/2022","$9.2","0","","$5.79","102996","Beauty & Personal Care","B0B4WSB5XV","https://www.amazon.com/dp/B0B4WSB5XV"
"","","51","PAGOW Glow in The Dark Glitter 24 Colors High Luminous Iridescent Chunky Glitter Gel Resin Self-Adhesive UV Black Light Glitter for Eyeshadow Face Body Halloween Makeup","Pagow","$10.99","110","3","$1209","04/25/2022","$6.42","0","","$4.57","53378","Beauty & Personal Care","B09YV298B2","https://www.amazon.com/dp/B09YV298B2"
"","","52","Ceya Holographic Chunky Glitter 3.5oz/ 100g Black Craft Glitter Powder Mixed Chunky Fine Flakes Iridescent Nail Sequins for Nail Art Hair Epoxy Resin Tumblers Slime Painting Festival Decor","ceya","$11.19","1515","50","$16953","07/26/2021","$5.74","342","4.8","$5.45","2367","Arts Crafts & Sewing","B09B9SQZ33","https://www.amazon.com/dp/B09B9SQZ33"
"","","53","2 Color Body Glitter Gel Mermaid Scale Sequins Skin Long Lasting Sparkling Cream Eyeshadow Lip Nail Hair Painting Glitter Decorate Art Festival Party Make up Powder (SilverWhite)with 2 Sponge Brush","Hacjkaz","$7.99","164","5","$1310","02/27/2022","$3.81","39","4.6","$4.18","59429","Beauty & Personal Care","B09TL396T5","https://www.amazon.com/dp/B09TL396T5"
"","","54","Spearlcable Glow in The Dark Chunky Glitter 12 Boxes Luminous Iridescent Glitter Tiffany Rose Yellow Flakes for Face Eyes Body Hair DIY Nail Art Decals (A)","Spearlcable","$7.99","113","3","$903","05/19/2022","$3.81","2","3.5","$4.18","85394","Beauty & Personal Care","B0B1TG2RNX","https://www.amazon.com/dp/B0B1TG2RNX"
"","","55","GL-Turelifes Body Glitter Gel Easy to Apply&Remove 50ml Mermaid Sequins Chunky Glitter for Body Face Hair Festival Glitter Halloween Costume Makeup Long Lasting Sparkling (Blue Purple)","GL-Turelifes","$9.99","900","30","$8991","10/20/2021","...","32","4.3","","18554","Beauty & Personal Care","B09JZQ2R54","https://www.amazon.com/dp/B09JZQ2R54"
