,product_name,brand,price,monthly_sales,daily_sales,monthly_revenue,date_first_available,net,rating_number,rating,fees,product_rank,category,asin,link
1372,Makeup Brushes 30Pcs Full Set Of Makeup Tools Eyeshadow Brush Eyelash Brush Face Mask Brush Make Up Brushes Wooden Handle Professional Makeup Brush Set (Green),111,19.99,60.0,3.0,1199.0,05/15/2022,11.2,12,4.9,8.79,88916.0,Beauty & Personal Care,B09YRMY4Z1,https://www.amazon.com/Makeup-Brushes-Eyeshadow-Eyelash-Professional/dp/B09YRMY4Z1/ref=sr_1_96?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-96
1373,BESTOPE PRO Premium Synthetic Contour Concealers Foundation Powder Eye Shadows Makeup Brushes with Champagne Gold Conical Handle 20 Count,BESTOPE PRO,11.99,2302.0,114.0,27601.0,12/07/2020,6.42,1646,4.1,5.57,4565.0,Beauty & Personal Care,B07W41895X,https://www.amazon.com/BESTOPE-Synthetic-Concealers-Foundation-Champagne/dp/B07W41895X/ref=sr_1_97?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-97
1374,ATHENACOSM 9Pcs Professional Makeup Brushes Set Rose Gold Travel size with Black cylinder Case and Desktop Brush Holder Makeup Brushes Organizer Foundation Powder Contour Blush Concealers Eye Shadows pink blender sponge with holder set,ATHENACOSM,11.99,24.0,0.0,288.0,11/24/2021,6.42,12,4.7,5.57,258832.0,Beauty & Personal Care,B09C5NXCP2,https://www.amazon.com/ATHENACOSM-Professional-Organizer-Foundation-Cosmetic/dp/B09C5NXCP2/ref=sr_1_98?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-98
1375,Makeup Brushes HEYMKGO 12pcs Eco-friendly Vegan Makeup Brush Set Professional Wooden Handle with Soft Bristles Foundation Makeup Blusher Lip Eyeshadow Brushes Eyeliner Eyebrow Brush,HEYMKGO,13.99,0.0,0.0,0.0,09/30/2021,8.35,76,4.0,5.64,445210.0,Beauty & Personal Care,B096ZW4HBF,https://www.amazon.com/HEYMKGO-Eco-friendly-Professional-Foundation-Eyeshadow/dp/B096ZW4HBF/ref=sr_1_99?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-99
1376,Jessup Full Makeup Brushes Set 13pcs Professional Vegan Foundation Powder Contour Blush Highlight Eyeshadow Blending Concealer Spoolie EyeLiner Brush Phantom Black T300,Jessup,19.8,1806.0,95.0,35759.0,01/21/2020,13.29,1064,4.7,6.51,5654.0,Beauty & Personal Care,B07VLYJJLW,https://www.amazon.com/Jessup-Foundation-Concealer-Eyeshadow-Synthetic/dp/B07VLYJJLW/ref=sr_1_100?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-100
1377,Makeup Brush Set SOLVE 32 Pieces Professional Makeup Brushes Wooden Handle Cosmetics Brushes Foundation Concealer Powder Face Eye Make up Brushes Kit Black,SOLVE,9.99,4609.0,128.0,46044.0,03/18/2019,6.12,4369,4.3,3.87,3939.0,Beauty & Personal Care,B07HCY7Q9D,https://www.amazon.com/SOLVE-Professional-Cosmetics-Foundation-Concealer/dp/B07HCY7Q9D/ref=sr_1_101?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-101
1378,OMANIAC Professional Makeup Brushes Set (12Pcs) Pearl Flash Handles Comfortable To Hold And Easy To Use. Eyeshadow Blush Blending Full Face Makeup Brushes Kit With Makeup Brushes Holder.,OMANIAC,35.99,325.0,9.0,11697.0,10/12/2020,26.07,885,4.5,9.92,47880.0,Beauty & Personal Care,B08GS5YJQZ,https://www.amazon.com/OMANIAC-Professional-Comfortable-Eyeshadow-Blending/dp/B08GS5YJQZ/ref=sr_1_102?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-102
1379,DNHCLL Oval Makeup Brush Set Upgraded Fast Flawless Application Toothbrush Foundation Concealer Blusher Liquid Cream Powder Cosmetic Blending Tools,DNHCLL,7.99,54.0,2.0,431.0,06/06/2021,3.81,11,4.3,4.18,121227.0,Beauty & Personal Care,B07XCV99WM,https://www.amazon.com/DNHCLL-Application-Toothbrush-Foundation-Concealer/dp/B07XCV99WM/ref=sr_1_103?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-103
1380,Makeup Brushes Premium Pink Makeup Brush Set 22pcs Foundation Kabuki Blush Fan Eyeshadow Brushes Compatible with Cosmetic Case,G-Texnik,11.94,1071.0,19.0,0.0,12/15/2019,13.22,1352,4.3,4.07,27024.0,Beauty & Personal Care,B07XKSK6HW,https://www.amazon.com/Brushes-Foundation-Eyeshadow-Compatible-Cosmetic/dp/B07XKSK6HW/ref=sr_1_104?keywords=eco+makeup+brush+set&qid=1659908838&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-104
1381,EcoTools Define & Highlight Duo Makeup Brush Set for Powder Bronzer & Highlighter,EcoTools,9.9,134.0,4.0,1327.0,02/18/2019,5.57,2427,4.7,4.33,85028.0,Beauty & Personal Care,B01NBEU80L,https://www.amazon.com/EcoTools-Define-Highlight-Bronzer-Highlighter/dp/B01NBEU80L/ref=sr_1_101?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-101
1382,DUAIU Makeup Brushes 15pcs Premium Synthetic Bristles Crystal Handle Set Kabuki Foundation Brush Face Lip Eye Makeup Brush Sets Professional with Starry Gift BoxBlue),DUAIU,15.99,893.0,16.0,14279.0,03/29/2021,9.82,2014,4.7,6.17,30112.0,Beauty & Personal Care,B08VDHY3GQ,https://www.amazon.com/DUAIU-Synthetic-Bristles-Foundation-Professional/dp/B08VDHY3GQ/ref=sr_1_102?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-102
1383,BEILI Makeup Brushes 30Pcs Professional Makeup Brush Set Premium Pink Vegan Synthetic Kabuki Foundation Blending Brush Face Powder Blush Concealers Eye Shadows Make Up Brush Set (White/Rose Golden),BEILI,42.99,594.0,17.0,25536.0,09/25/2019,31.4,395,4.7,11.59,29153.0,Beauty & Personal Care,B07PWW6PKQ,https://www.amazon.com/BEILI-Synthetic-Highlight-Foundation-Concealer/dp/B07PWW6PKQ/ref=sr_1_103?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-103
1384,Makeup Brushes Rose Golden 14 Pcs Makeup Brush Set with Blender Sponge and Brush Cleaner Premium Synthetic Kabuki Foundation Face Powder Blush Eyeshadow Cruelty-Free Brochas De Maquillaje,AMMIY,8.99,580.0,17.0,5214.0,10/29/2019,4.5,1322,4.6,4.49,29060.0,Beauty & Personal Care,B07TYBCT39,https://www.amazon.com/Synthetic-Foundation-Eyeshadow-Cruelty-Free-Maquillaje/dp/B07TYBCT39/ref=sr_1_104?keywords=eco+makeup+brush+set&qid=1659908887&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-104
