"Export time: 8/5/2022, 11:51:51 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","23","Zhanmai 12 Pieces Belly Dance Skirt Hip Skirt 12 Colors Waist Chain Dance Hip Scarf Belt with Dangling Coins (Classic Style Gold Coins)","Zhanmai","$39.99","30","1","$1200","10/28/2021","$28.2","19","4.8","$11.79","206405","Sports & Outdoors","B09FP99CYF","https://www.amazon.com/dp/B09FP99CYF"
"","","24","Belly Dance Hip Scarf Belly Dancing Skirt Coin Sash Costume with Silver Coins","AK TRADING CO","$13.95","0","0","$0","08/30/2014","$8.32","411","4.4","$5.63","351484","Sports & Outdoors","B00N6WCKJI","https://www.amazon.com/dp/B00N6WCKJI"
"","","25","AK-Trading Chiffon Dangling Belly Dance Hip Scarf with Golden Coins","AK TRADING CO","$13.95","0","0","$0","10/11/2020","...","123","4.3","","652253","Clothing Shoes & Jewelry","B008F07BRM","https://www.amazon.com/dp/B008F07BRM"
"","","26","W&W Black Belly Dance Skirt Hip Scarf","Artist Unknown","$9.99","130","4","$1299","02/20/2017","$5.37","607","4.4","$4.62","112935","Clothing Shoes & Jewelry","B06X96MFDC","https://www.amazon.com/dp/B06X96MFDC"
"","","27","W&W Purple Belly Dance Skirt Hip Scarf","Artist Unknown","$9.99","0","0","$0","02/20/2017","$5.57","141","4.4","$4.42","271745","Sports & Outdoors","B06W5JNQ18","https://www.amazon.com/dp/B06W5JNQ18"
"","","28","Pilot-Trade Women's Triangular Belly Dancing Hip Scarf Wrap Skirt with Gold Coins","Pilot-trade clothing trade co.Ltd","$14.98","246","8","$3685","01/12/2017","$8.66","1133","4.5","$6.32","118176","Clothing Shoes & Jewelry","B01N6QH33Y","https://www.amazon.com/dp/B01N6QH33Y"
"","","29","Saymequeen Belly Dancing Dance Waist Chain Hip Scarf Skirt Belt with 320 Coins","Apparel-Saymequeen","$16.99","9","0","$153","04/07/2016","$10.67","246","4.5","$6.32","91162","Sports & Outdoors","B01E1B8LNG","https://www.amazon.com/dp/B01E1B8LNG"
"","","30","Wuchieal Women's Belly Dancing Belt Colorful Waist Chain Belly Dance Hip Scarf Belt","Wuchieal","$12.88","105","3","$1352","04/28/2017","$7.15","912","4.6","$5.73","174887","Clothing Shoes & Jewelry","B07FYCG2QP","https://www.amazon.com/dp/B07FYCG2QP"
"","","31","Aivtalk Women Belly Dance Hip Scarf with Coins Velvet Belly Dance Belt 320 Coins","Aivtalk","$28.99","30","1","$870","02/14/2017","$19.66","222","4.6","$9.33","388662","Clothing Shoes & Jewelry","B06X91L9XY","https://www.amazon.com/dp/B06X91L9XY"
"","","32","W&W Red Belly Dance Skirt Hip Scarf","Artist Unknown","$9.99","1","0","$10","02/20/2017","$4.95","96","4.5","$5.04","245526","Sports & Outdoors","B06X976Y8X","https://www.amazon.com/dp/B06X976Y8X"
"","","33","RELBCY Belly Dance Hip Scarf Tassel Sequins Dance Wrap Triangle Coin Dance Skirt Music Festival Costume for Women and Girls","RELBCY","$14.66","...","...","...","08/10/2021","...","13","5","","220403","...","B09CDM7FJ5","https://www.amazon.com/dp/B09CDM7FJ5"
"","","34","Lauthen.S Belly Dance Hip Scarf with Tassels Sequins Triangle Coins Wrap Skirt Music Festival Clothing","Lauthen.S","$15.99","95","3","$1519","11/17/2020","$10.67","330","4.4","$5.32","74828","Sports & Outdoors","B08NTCM8ML","https://www.amazon.com/dp/B08NTCM8ML"
"","","35","Earent Mesh Rhinestone Headbands Black Glitter Wide Hairbands Elastic Turban Kerchiefs Crystal Nightclub Headscarfs Rave Party Head Wraps Sparkle Body Jewelry for Women and Girls(Headbands) (A-Black)","EARENT","$11.99","235","7","$2818","10/08/2020","$6.05","196","4.3","$5.94","148094","Clothing Shoes & Jewelry","B08G197CRH","https://www.amazon.com/dp/B08G197CRH"
"","","36","ZLTdream Belly Dance Color Film Gong Hip Scarf Chiffon","ZLTdream","$11.72","1","0","$12","06/28/2016","$6.19","305","4.6","$5.53","286619","Sports & Outdoors","B01HPYZV1Q","https://www.amazon.com/dp/B01HPYZV1Q"
"","","37","COSICS Belly Dance Hip Scarf Belly Dancing Skirt Hip Scarves with Dangling Gold Coins for Performance Costume","Store COSICS COSICS Visit the","$9.99","60","2","$599","10/20/2019","$4.95","490","4.6","$5.04","102688","Sports & Outdoors","B07ZCL3HNZ","https://www.amazon.com/dp/B07ZCL3HNZ"
"","","38","Rightline Gear Mid Size Short Bed Truck Tent (5')","Rightline Gear","$135.60","851","28","$115396","02/08/2012","$107.73","1141","4.3","$27.87","4816","Automotive","B00FSBE7C8","https://www.amazon.com/dp/B00FSBE7C8"
"","","39","Belly Dancing Deluxe Velvet Hip Scarf - Fuchsia with Silver Coins","Anne Klein","$19.95","...","...","...","09/30/2013","...","0","","","2546930","...","B007DY06QY","https://www.amazon.com/dp/B007DY06QY"
"","","40","WAYDA Hip Scarf for Belly Dancing Women's Belly Dance Scarf with 128 Gold Coins Skirts for Bellydance Zumba or Yoga Class","WAYDA","$9.99","141","4","$1409","08/18/2019","$5.57","551","4.5","$4.42","40608","Sports & Outdoors","B07WSKFRB2","https://www.amazon.com/dp/B07WSKFRB2"
"","","41","BellyLady Belly Dance Hip Scarf With Paillettes Gold Coins Belly Dance skirt","BellyLady","$10.58","0","0","$0","11/29/2015","...","19","4.6","","281078","Sports & Outdoors","B00CPFN1DG","https://www.amazon.com/dp/B00CPFN1DG"
"","","42","AnnabelZ Women's Coin Purse Change Wallet Pouch Leather Card Holder with Key Chain Tassel Zip (Orange)","AnnabelZ","$9.99","1580","52","$15784","10/18/2018","$5.37","7179","4.6","$4.62","20327","Clothing Shoes & Jewelry","B07QBY7W6C","https://www.amazon.com/dp/B07QBY7W6C"
"","","43","MUNAFIE Belly Dance Coins Belt Hip Skirt Scarf with Gold Coins","MUNAFIE","$12.98","4","0","$52","02/19/2022","$7","74","4.4","$5.98","407636","Clothing Shoes & Jewelry","B073CNC466","https://www.amazon.com/dp/B073CNC466"
"","","44","AK-Trading Multi-Row 258 Silver Coins Velvet Belly Dance Hip Scarf - White","AK TRADING CO","$18.95","0","0","$0","08/07/2015","...","1","5","","1515737","Sports & Outdoors","B013L4LFDM","https://www.amazon.com/dp/B013L4LFDM"
"","","45","3 Pieces Women's Sweet Belly Dance Hip Scarf Belly Dance Skirt Wrap Noisy Belly Dancing Skirt Dangling Gold Coins Belly Dancer Costumes for Women Girls 62.2 Inches Black Blue and Purple","Henoyso","$28.99","...","...","...","04/07/2022","$19.5","0","","$9.49","390300","...","B09XHT1DQR","https://www.amazon.com/dp/B09XHT1DQR"
"","","46","Kakaco Tassel Sequins Hip Skirt Belly Dance Costume with Coin Party Rave Skirts Fringe Hip Scarf for Women and Girls","Kakaco","$14.66","0","0","$0","09/04/2020","$8.92","13","4.7","$5.74","548354","Sports & Outdoors","B08GXYDHH4","https://www.amazon.com/dp/B08GXYDHH4"
"","","47","NEPAK Belly Dance Hip Scarf SetSweet Belly Dance Skirt Wrap Performance Bling Sequins Coins(1 x Dance Belt2 x Dance Bracelet) Black","NEPAK","$16.99","30","1","$510","11/25/2019","$9.7","78","4.6","$7.29","348728","Clothing Shoes & Jewelry","B0821CVPY8","https://www.amazon.com/dp/B0821CVPY8"
"","","48","Belly Dance Hip Scarf - Tribal Coins Wave Shape Hip Skirt Belly Dancing Belt Tassel Fringe Shawl Wraps Belts for Women/Girls","MISI CHAO","$23.82","60","2","$1429","04/07/2019","...","95","4.6","","238928","Clothing Shoes & Jewelry","B099RTV34W","https://www.amazon.com/dp/B099RTV34W"
"","","49","YOUR SMILE Silk Like Scarf Women's Fashion Pattern Large Square Satin Headscarf Headdress","YOUR SMILE","$8.91","2186","72","$19477","06/24/2021","$4.13","10801","4.6","$4.78","20540","Clothing Shoes & Jewelry","B01GTNIP6C","https://www.amazon.com/dp/B01GTNIP6C"
"","","50","Honbay Belly Dance Hair Hoop Indian Dance Headband Tribal Headband with Bells and Coin Ornaments","HONBAY","$6.59","80","2","$527","10/20/2019","$2.79","176","4.5","$3.80","103153","Beauty & Personal Care","B07LGVZDM7","https://www.amazon.com/dp/B07LGVZDM7"
"","","51","ORIDOOR Belly Dance Hip Scarf for Women Flannel Wave Shape Tribal Belly Dancing Hip Skirt Wrap Belt with Gold Coins","ORIDOOR","$19.99","0","0","$0","12/22/2020","$13.22","11","4.8","$6.77","1111513","Sports & Outdoors","B07V9G51G4","https://www.amazon.com/dp/B07V9G51G4"
"","","52","Women Scarf Shawl for All Season 3PCS Scarve Wrap Scarve.","Axe Sickle","$13.99","1256","41","$17571","09/27/2019","$7.21","9285","4.6","$6.78","26473","Clothing Shoes & Jewelry","B07VDSW87F","https://www.amazon.com/dp/B07VDSW87F"
"","","53","Belly Dance Hip Scarf Coins Plus Size Fringe Skirt Sequin Fringe Skirt Belly Dancer Costumes for Women","Nimiman","$13.90","...","...","...","08/22/2021","$8.62","3","5","$5.28","2438706","...","B09DSSWX2R","https://www.amazon.com/dp/B09DSSWX2R"
"","","54","Sibosen Belly Dance Hip Scarf Skirt Tassel Sequin Coins Wrap Rave Costumes for Women","Sibosen","$8.75","0","0","$0","07/20/2021","$3.9","21","3.9","$4.85","230756","Sports & Outdoors","B099ZLZ33R","https://www.amazon.com/dp/B099ZLZ33R"
"","","55","Belly Dance Hip Scarf - Hip Skirt Belly Dancing Belt Triangle Shawl Tassel Belts Waist Chain for Women/Girls","MISI CHAO","$15.32","30","1","$460","07/25/2018","$9.48","336","4.5","$5.84","183512","Sports & Outdoors","B07FFN5KWB","https://www.amazon.com/dp/B07FFN5KWB"
"","","56","Aivtalk Women Belly Dance Hip Scarf Sequins Mesh Triangle Wrap Skirts","Aivtalk","$30.99","80","2","$2479","09/19/2018","$22.8","191","4.3","$8.19","229559","Clothing Shoes & Jewelry","B07HJ1TLN9","https://www.amazon.com/dp/B07HJ1TLN9"
"","","57","Pilot-Trade Lady's Belly Dance Hip Scarf Belt Skirt Latin Dance Tassel Wave Skirt","Pilot-trade clothing trade co.Ltd","$11.99","14","0","$168","05/09/2016","$7.27","149","4.6","$4.72","169763","Sports & Outdoors","B01FFS7WMK","https://www.amazon.com/dp/B01FFS7WMK"
"","","58","BellyLady Multi-Row Gold Coins Belly Dance Skirt Wrap & Hip Scarf Gift Idea","BellyLady","$10.49","0","0","$0","07/26/2009","$5.15","266","4.4","$5.34","441473","Sports & Outdoors","B002J8NPIU","https://www.amazon.com/dp/B002J8NPIU"
"","","59","Pearl Plus Size XL Chiffon Belly Dance Hip Scarf Wrap Belt Sash Skirt with Gold Coins","PEARL","$19.95","0","0","$0","10/22/2014","...","71","4.5","","700636","Sports & Outdoors","B00OT4E9I2","https://www.amazon.com/dp/B00OT4E9I2"
"","","60","Pearl Belly Dance Hip Scarf Hip Shakers Belly Dancing Skirt Coin Sash Costume with Gold Coins - Black","PEARL","$13.95","0","0","$0","10/21/2014","$8.32","83","4.4","$5.63","628737","Sports & Outdoors","B00OT3JWCQ","https://www.amazon.com/dp/B00OT3JWCQ"
"","","61","WEKIOOBON Belly Dance Hip Scarf Sweet Belly Dance Skirt Wrap Performance Bling Sequins Coins Belly Dance Costume for Women","WEKIOOBON","$11.99","870","29","$10431","06/18/2020","$6.42","1306","4.5","$5.57","6772","Sports & Outdoors","B08BJ6KHCH","https://www.amazon.com/dp/B08BJ6KHCH"
"","","62","Lilly Pulitzer Women's Vegan Leather Gold Clutch Purse Travel Wallet with Pocket Notepad Metallic Gold","Lilly Pulitzer","$28.95","95","3","$2750","08/31/2019","$19.51","234","4.6","$9.44","153123","Clothing Shoes & Jewelry","B07TFBKH6Y","https://www.amazon.com/dp/B07TFBKH6Y"
