"Export time: 8/7/2022, 2:43:34 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","47","Pencil Case Big Capacity Pen Pouch Large Storage Black Holder Marker Pen Bag Durable 3 Compartment School Office Desk Organizer Portable Cute Zipper Stationery for Kids Teen Student Boys Girls Adults","Vanmavo","$14.98","1292","63","$19354","06/03/2022","$8.96","12","4.9","$6.02","3940","Office Products","B0B33RN9QD","https://www.amazon.com/Capacity-Compartment-Organizer-Portable-Stationery/dp/B0B33RN9QD/ref=sr_1_48?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-48"
"","","48","iSuperb Foldable Pencil Case Zipper Big Capacity Canvas Pencil Pouch Stationery Organizers Pen Bag Compartments Cosmetic Makeup Bags for Women","iSuperb","$12.98","938","162","$12175","06/08/2018","$7.49","780","4.7","$5.49","445","Arts Crafts & Sewing","B07DLL35KV","https://www.amazon.com/iSuperb-Capacity-Zipper-Student-Stationery/dp/B07DLL35KV/ref=sr_1_49?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-49"
"","","49","Pencil Case Multifunction Large Capacity Pencil Bag 2 Compartments Storage Pouch with Zipper for Boy Girl School Supplies","FARWTISK","$15.99","75","2","$1199","07/14/2022","$10.05","0","","$5.94","78208","Office Products","B09YTX7BJL","https://www.amazon.com/Multifunction-Capacity-Compartments-Storage-Supplies/dp/B09YTX7BJL/ref=sr_1_50?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-50"
"","","50","Pencil case for Gilrs Boys Large Pencil Pouch to organize Pen Pencil for Middle School College Student Artist Metal Zipper Practical Cloth Office Pencil Bag Holder Black","Della Gao","$8.99","2233","113","$20075","07/21/2021","$4.1","319","4.6","$4.89","753","Arts Crafts & Sewing","B098LKJFRB","https://www.amazon.com/Pencil-Organize-College-Student-Practical/dp/B098LKJFRB/ref=sr_1_51?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-51"
"","","51","Pencil Case Extra Large Pencil Pouch for Girls Boys Multifunction Pencil Bag Stationery Office Travel Makeup Organizer for Adults Women Men College Back to School Gifts for Students Black","XQXA","$8.99","1698","106","$15265","03/18/2022","$4.1","101","4.6","$4.89","2192","Office Products","B09L82GT2R","https://www.amazon.com/Multifunction-Stationery-Organizer-College-Students/dp/B09L82GT2R/ref=sr_1_52?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-52"
"","","52","CICIMELON Pencil Case Big Capacity Handheld 3 Compartments Pencil Pouch Portable Large Storage Canvas Pen Bag for Boys Girls Adults Students Business Office - Plaid White","CICIMELON","$13.99","3666","180","$51287","02/20/2021","$8.35","2258","4.7","$5.64","377","Arts Crafts & Sewing","B08MTKS7RB","https://www.amazon.com/CICIMELON-Capacity-Handheld-Compartments-Portable/dp/B08MTKS7RB/ref=sr_1_53?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-53"
"","","53","Pencil Box Pink Plastic Small Dots Pencil Case School Storage Utility Supplies Box Organizer with Snap Closure for Kids and Adults Also Available in Green Grey Purple Red Blue 1 PK - By Enday","Enday","$9.79","6334","370","$62010","08/23/2021","$4.78","471","4.5","$5.01","390","Office Products","B09DDG1RRR","https://www.amazon.com/Plastic-Storage-Supplies-Organizer-Available/dp/B09DDG1RRR/ref=sr_1_54?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-54"
"","","54","Pencil Case Pen Bag Holder Pouch Large Handle Big Capacity Desk Organizer Storage Marker Box Stationary Makeup Cosmetic Double Zippers for School Office Students Teen","Surpop","$14.99","3103","298","$46514","08/10/2020","$8.97","627","4.6","$6.02","163","Arts Crafts & Sewing","B08HK2T3WH","https://www.amazon.com/Capacity-Organizer-Stationary-Cosmetic-Students/dp/B08HK2T3WH/ref=sr_1_55?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-55"
"","","55","12 Pcs Clear PVC Pencil Case with Zipper Transparent Makeup Pouch Cosmetic Make up Bag Organizer Big Capacity Waterproof Pencil Bag for School Office Travel Women Student Kid(Black)","Cindeer","$15.99","90","3","$1439","05/19/2022","$8.45","0","","$7.54","40985","Arts Crafts & Sewing","B0B1PJN32Q","https://www.amazon.com/Transparent-Cosmetic-Organizer-Capacity-Waterproof/dp/B0B1PJN32Q/ref=sr_1_56?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-56"
"","","56","Gloppie Pencil Bag Pencil Pouch Pen Case Simple Pencil Case Black Pencil Storage Bag Pen Holder Marker Organizer Fabric Zipper Pen Pouch Office School Supplies for College Students Kids Adults","Gloppie","$8.99","4780","218","$42972","05/28/2021","$4.1","618","4.6","$4.89","276","Arts Crafts & Sewing","B093Q79X9J","https://www.amazon.com/Gloppie-Storage-Organizer-Supplies-Students/dp/B093Q79X9J/ref=sr_1_57?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-57"
"","","57","Lbxgap Portable Colored Printing Pattern Morning glory and Daisy Pencil Case 300 Slots Pen Pencil Bag Organizer with Handy Wrap Portable- Multilayer Holder for Prismacolor Crayola Colored Pencils","Lbxgap","$20.99","283","12","$5940","12/10/2021","$11.11","1","5","$9.88","10995","Arts Crafts & Sewing","B09NGLMFQ7","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_btf_aps_sr_pg1_2?ie=UTF8&bwType=search&bwAsin=B09NGLMFQ7&url=%2FLbxgap-Organizer-Portable-Multilayer-Prismacolor%2Fdp%2FB09NGLMFQ7%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.695e268e-ec60-465b-99cc-6a0ed7b3b9f7%253Aamzn1.sym.695e268e-ec60-465b-99cc-6a0ed7b3b9f7%26crid%3DXT8105YEMFF4%26cv_ct_cx%3Dpencil%2Bcase%26keywords%3Dpencil%2Bcase%26pd_rd_i%3DB09NGLMFQ7%26pd_rd_r%3De9e0959f-5086-4686-ab0f-2ae1a70b1182%26pd_rd_w%3Dc4lD7%26pd_rd_wg%3DYZgDL%26pf_rd_p%3D695e268e-ec60-465b-99cc-6a0ed7b3b9f7%26pf_rd_r%3D3G6CWDB19VRYS0P0XK6D%26qid%3D1659907955%26sprefix%3D%252Caps%252C158%26sr%3D1-2-dee36d41-3265-4e30-99c6-4e7343298906-spons%26psc%3D1&qualifier=1659907955&id=1228627929435771&widgetName=sp_search_thematic_btf"
"","","58","Fmeida Grid Mesh Pencil Case Pink Pencil Case Organizer Small Pencil Bag Pen Case with Zipper Multi-Purpose Pencil Pouch for College Office Business","Fmeida","$6.59","75","4","$494","02/19/2022","$2.06","2","5","$4.53","28546","Arts Crafts & Sewing","B09MTLFJDP","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_btf_aps_sr_pg1_3?ie=UTF8&bwType=search&bwAsin=B09MTLFJDP&url=%2FFmeida-Pencil-Case-Organizer-Multi-Purpose%2Fdp%2FB09MTLFJDP%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.695e268e-ec60-465b-99cc-6a0ed7b3b9f7%253Aamzn1.sym.695e268e-ec60-465b-99cc-6a0ed7b3b9f7%26crid%3DXT8105YEMFF4%26cv_ct_cx%3Dpencil%2Bcase%26keywords%3Dpencil%2Bcase%26pd_rd_i%3DB09MTLFJDP%26pd_rd_r%3De9e0959f-5086-4686-ab0f-2ae1a70b1182%26pd_rd_w%3Dc4lD7%26pd_rd_wg%3DYZgDL%26pf_rd_p%3D695e268e-ec60-465b-99cc-6a0ed7b3b9f7%26pf_rd_r%3D3G6CWDB19VRYS0P0XK6D%26qid%3D1659907955%26sprefix%3D%252Caps%252C158%26sr%3D1-3-dee36d41-3265-4e30-99c6-4e7343298906-spons%26psc%3D1&qualifier=1659907955&id=1228627929435771&widgetName=sp_search_thematic_btf"
