"Export time: 8/6/2022, 12:04:18 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","109","BESTLA 3pcs Powder Puff Mushroom Makeup Sponge Blender Puff With Handles and 3 Holder Cases Cosmetic Facial Face","BESTLA","$8.59","219","7","$1881","09/03/2020","$4.98","216","4","$3.61","83181","Beauty & Personal Care","B089MC4T27","https://www.amazon.com/dp/B089MC4T27"
"","","110","Miss Lil USA Makeup Sponge Blender Multicolor Set - Non Latex Soft Professional Beauty Sponge Foundation Blending Blender with Egg Case Flawless for Cream Powder and Liquid (8PCS Black Brown Beige)","Miss Lil USA","$10.55","...","...","...","12/26/2021","$5.43","62","4.5","$5.12","96697","...","B09MY11Z4S","https://www.amazon.com/dp/B09MY11Z4S"
"","","111","Premire Classe Skincare - Beauty Sponge Holder - Rose Gold Foundation Beauty Blender Holder - Makeup Brush Organizer Rack Case - Vanity Storage - Display Make Up Puff Sponge Drying Stand (Pack of 1)","Premire Classe Skincare","$4.92","214","7","$1053","01/14/2021","...","111","4.5","","59506","Beauty & Personal Care","B08RZ6C7XN","https://www.amazon.com/dp/B08RZ6C7XN"
"","","112","Scala Foundation Makeup Sponge Eco Blender Beauty Cosmetics Egg Puff Make Up Sponge Brush (3pcs Green+Rose+Brown)","Bodermincer","$9.98","9","0","$90","03/10/2017","$5.64","519","3.7","$4.34","101484","Beauty & Personal Care","B01N6CACAI","https://www.amazon.com/dp/B01N6CACAI"
"","","113","Powder Puff WSYUB 4Pcs Blender Puff Pure Cotton Face Soft Triangle Wedge Makeup Pad for Undereye Makeup Loose Powder Mineral Powder Body Powder Black Cotton Velour Sponge Makeup Tool","WSYUB","$4.99","...","...","...","12/16/2019","$1.67","18","4.8","$3.32","25049","...","B09W1BYVSP","https://www.amazon.com/dp/B09W1BYVSP"
"","","114","Make up Sponges for Face 40-Count Compressed Facial Sponges for Cleansing/Exfoliating Makeup Sponges for Foundation Blending Professional Beauty Sponge Blender Set for Cream/Powder/Liquid","CZhiyang","$16.99","...","...","...","06/28/2022","$10.67","11","4.4","$6.32","110029","...","B0B2DZXNLT","https://www.amazon.com/dp/B0B2DZXNLT"
"","","115","Thirsty Lemon Makeup Sponge by Ally Things Beauty | Yellow Lemon Shaped Makeup Blender for Liquid Foundation Cream or Powder Blending - Cosmetic Applicator - Cute & Latex-Free Daily Beauty Sponge","Ally Things Beauty","$12.99","525","17","$6820","07/29/2020","$7.5","1173","4.5","$5.49","22374","Beauty & Personal Care","B08BYBQB9K","https://www.amazon.com/dp/B08BYBQB9K"
"","","116","Hedume 192 Count Cosmetic Wedges Makeup Sponge Blender Latex-Free Makeup Wedge Great for Blending Foundation and Concealer Bulk Pack","Hedume","$16.99","273","9","$4638","09/11/2020","$11.52","194","4.6","$5.47","48467","Beauty & Personal Care","B088PN4CDM","https://www.amazon.com/dp/B088PN4CDM"
"","","117","Ecotools Perfecting Blender Makeup Beauty Sponge For Liquid + Cream Foundations","EcoTools","$4.90","707","23","$3464","12/11/2017","$0.97","3444","4.5","$3.93","27423","Beauty & Personal Care","B072LV5WW3","https://www.amazon.com/dp/B072LV5WW3"
"","","118","EcoTools 2 Beauty Sponges for Flawless Foundation Coverage Multi","EcoTools","$4.99","85","2","$424","07/30/2016","$1.05","3352","4.5","$3.94","21964","Beauty & Personal Care","B01N7CHK17","https://www.amazon.com/dp/B01N7CHK17"
"","","119","APCHYWELL Makeup Sponge Set with Holder Latex Free Beauty Blender large sizeBlending Sponge with Multi Color","APCHYWELL","$5.59","155","5","$866","12/15/2020","$1.6","607","4.6","$3.99","52213","Beauty & Personal Care","B08JY95FDB","https://www.amazon.com/dp/B08JY95FDB"
"","","120","2 Pack Makeup Sponge Holder Travel Case Pletpet Silicone Beauty Blender Holder Makeup Sponge Case Portable Washable Beauty Sponge Holder for Home Travel (Khaki)","Pletpet","$13.99","60","2","$839","08/02/2022","$8.35","0","","$5.64","125473","Beauty & Personal Care","B09ZY145B1","https://www.amazon.com/dp/B09ZY145B1"
"","","121","Molain 48 Pieces Powder Puffs Elasticity Makeup Sponge Blender Wedge Shape Foundation Applicator Reusable Non-latex Cosmetic Beauty Tool for Powder/Face Cream/Nails White","Molain","$6.88","120","4","$826","01/04/2022","$2.79","57","4.4","$4.09","52286","Beauty & Personal Care","B09ND1M6L8","https://www.amazon.com/dp/B09ND1M6L8"
"","","122","wet n wild Makeup Sponge","wet n wild","$3.99","1178","39","$4700","04/04/2019","$0.13","3415","4.6","$3.86","19028","Beauty & Personal Care","B07MCCDV7V","https://www.amazon.com/dp/B07MCCDV7V"
"","","123","Mini Makeup Sponge Set Blender Beauty Foundation Blending Sponge - Multi-coloredPink8 Piece Set","keaiduo","$5.99","...","...","...","01/30/2022","$1.97","37","4.1","$4.02","80325","...","B09N3FKWLF","https://www.amazon.com/dp/B09N3FKWLF"
"","","124","BEAKEY 2 Pcs Makeup Sponge Set Foundation Blending Beauty Sponge Flawless for Liquid Cream Foundation & Powder Vertical Cut Makeup Sponges","BEAKEY","$9.99","1594","53","$15924","08/25/2021","$5.65","677","4.6","$4.34","28924","Beauty & Personal Care","B099ZPW1QT","https://www.amazon.com/dp/B099ZPW1QT"
"","","125","Acrylic Beauty Blender Sponge Holder With Dustproof Lid Clear 4 Hole Solution Makeup Sponges Display Stand For Bathroom (Clear-4holes)","LUGUNU","$14.69","239","7","$3511","10/03/2020","$8.72","264","4.5","$5.97","67273","Beauty & Personal Care","B08CDLSHQX","https://www.amazon.com/dp/B08CDLSHQX"
"","","126","Yoodelife 1 Pc Beauty Sponge Blender Holders Makeup Sponge Drying Stand Beauty Sponge Holder Storage Rack Egg Powder Puff Display Stand Sponge Storage Rose Gold","Yoodelife","$3.95","94","3","$371","10/02/2020","$0.71","434","4.8","$3.24","66402","Beauty & Personal Care","B083YY3M61","https://www.amazon.com/dp/B083YY3M61"
"","","127","Pefetis Makeup Sponge Holder Silicone Beauty Blender Case Travel Washable and Ventilated Makeup Egg Holder for Gift (Purple & Pink)","pefetis","$7.99","...","...","...","06/27/2022","$3.81","24","4.5","$4.18","76136","...","B0B45H95S4","https://www.amazon.com/dp/B0B45H95S4"
"","","128","Premium Quality Marble Makeup Sponges Soft Microfiber Blenders 2 pack","Boolavard","$8.74","219","7","$1914","01/19/2019","$4.5","551","4.4","$4.24","71443","Beauty & Personal Care","B07HGKCC5Q","https://www.amazon.com/dp/B07HGKCC5Q"
"","","129","Makeup Sponge Case Blender Beauty Foundation Holder Blending Sponge Egg Set Makeup Sponge Wet And Dry Storage Box Egg Sponge Organizer (3pcs-Pink series)","Meiiy","$6.99","240","8","$1678","05/08/2021","$2.89","87","4.6","$4.10","54710","Beauty & Personal Care","B08XQ2TLKT","https://www.amazon.com/dp/B08XQ2TLKT"
"","","130","EcoTools Beauty Makeup Blender Sponge For Liquid Foundation and Concealer.80 Ounce","EcoTools","$8.45","124","4","$1048","07/30/2016","$4.23","2146","4.3","$4.22","35629","Beauty & Personal Care","B00AEM0W3E","https://www.amazon.com/dp/B00AEM0W3E"
