"Export time: 8/6/2022, 12:17:36 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","19","Avery Clear High-Capacity Sheet Protectors Hold 50 Sheets Heavyweight 25 Multi Page Protectors (74171)","AVERY","$6.78","2070","69","$14035","12/01/2004","$2.69","1126","4.7","$4.09","2967","Office Products","B00006IC80","https://www.amazon.com/dp/B00006IC80"
"","","20","500/Box Clear Heavyweight Poly Sheet Protectors by Gold Seal 8.5' x 11'","GOLD SEAL","$32.99","236","7","$7786","03/08/2020","$19.81","442","4.7","$13.18","24373","Office Products","B085PWQ4WT","https://www.amazon.com/dp/B085PWQ4WT"
"","","21","Better Office Sheet Protectors 50 Pack","Better Office Products","$5.29","3614","120","$19118","04/10/2018","$1.43","18421","4.7","$3.86","1903","Office Products","B07C425X2N","https://www.amazon.com/dp/B07C425X2N"
"","","22","Sheet Protectors 8.5 x 11 Inches Crystal Clear Page Protectors for 3 Ring Binder Medium Weight Plastic Sleeves Top Loading Paper Protector Acid Free Letter Size Dry Erase Pocket 50 Sheets","VST","$5.59","590","19","$3298","08/19/2021","$1.68","167","4.7","$3.91","10723","Office Products","B09CYLRMVT","https://www.amazon.com/dp/B09CYLRMVT"
"","","23","Amazon Basics Sheet Protector - Heavy Duty 100-Pack","Amazon Basics","$9.99","1513","50","$15115","09/24/2019","$2.7","1959","4.8","$7.29","3424","Office Products","B07R66CQG5","https://www.amazon.com/dp/B07R66CQG5"
"","","24","Samsill Recycled 500 Heavyweight Sheet Protectors Non-Glare for 3 Ring Binder 3.3 MIL Thick Top Loading Document Protectors Holds 10+ Sheets Archival Safe/Acid Free Bulk Pack of 500","Samsill","$38.99","489","16","$19066","10/25/2017","$24.61","1336","4.7","$14.38","16162","Office Products","B076VW7KZ6","https://www.amazon.com/dp/B076VW7KZ6"
"","","25","Samsill 100 Pack Color Edge Sheet Protectors Clear Plastic Sheet Protectors 8.5 x 11 Three Ring Binder Sleeves with Color Coded Edge","Samsill","$12.25","458","15","$5611","10/12/2021","$5.27","170","4.7","$6.98","14343","Office Products","B09JDRXZ69","https://www.amazon.com/dp/B09JDRXZ69"
"","","26","Teskyer Sheet Protectors 8.5 x 11 Inches Clear Page Protectors for 3 Ring Binder Letter Size Plastic Sleeves for Binders","Teskyer","$5.98","2540","84","$15189","09/28/2020","$2.16","1597","4.7","$3.82","3636","Office Products","B08KDC66NR","https://www.amazon.com/dp/B08KDC66NR"
"","","27","Avery Standard Weight Clear Sheet Protectors 8.5' x 11' Acid-Free Archival Safe Top Loading 25ct (75530)","AVERY","$7.12","1005","33","$7156","07/05/2006","$3.13","861","4.7","$3.99","6753","Office Products","B000WUVWYG","https://www.amazon.com/dp/B000WUVWYG"
"","","28","KTRIO Sheet Protectors 8.5 x 11 inch Clear Page Protectors for 3 Ring Binder Plastic Sleeves for Binders Top Loading Paper Protector Letter Size 200 Pack","KTRIO","$14.99","2252","75","$33757","02/11/2018","$6.31","3745","4.8","$8.68","4371","Office Products","B075ZSRSWS","https://www.amazon.com/dp/B075ZSRSWS"
"","","29","Amazon Basics Heavyweight Sheet Protectors 3 holes 100 Pack","Amazon Basics","$9.16","440","14","$4030","08/09/2021","$2","390","4.7","$7.16","18015","Office Products","B08K9LKCPY","https://www.amazon.com/dp/B08K9LKCPY"
"","","30","Rubex Sheet Protectors Clear Paper Sleeves Plastic Page Protector Reinforced 11 Hole fit for 3 Ring Binder Top Loading 9.25 x 11.25 inch (500 Sheets)","RUBEX","$24.89","1778","59","$44254","03/20/2019","$14.13","7396","4.6","$10.76","3432","Office Products","B07PVKLJ1J","https://www.amazon.com/dp/B07PVKLJ1J"
"","","31","50 Pack 11x17 Inch Heavyweight Diamond Clear Sheet Protectors Side Loading Ledger Sheet Protectors by Gold Seal 3-Hole Punched","GOLD SEAL","$16.99","557","18","$9463","03/08/2020","$8.65","134","4.7","$8.34","12323","Office Products","B0997XGQYQ","https://www.amazon.com/dp/B0997XGQYQ"
"","","32","Office Depot Standard Weight Sheet Protectors 8 1/2in. x 11in. Clear Pack Of 200 OD491694","Office Depot","$15.57","372","12","$5792","06/05/2013","$6.8","470","4.8","$8.77","17649","Office Products","B00DB8NQYA","https://www.amazon.com/dp/B00DB8NQYA"
"","","33","Heavyweight Clear Sheet Protectors 40-Pack Letter Size Reinforced 3 Hole Design Easy Load Acid-Free Archival Safe","Maru & Ara","$4.99","213","7","$1063","09/09/2019","$1.17","162","4.6","$3.82","18091","Office Products","B07XQHLRZY","https://www.amazon.com/dp/B07XQHLRZY"
"","","34","50 Pieces Dry Erase Pockets Reusable Plastic Sleeves Shop Holder Order Pockets Clear Sleeves Tickets Folders Job Ticket Shop Holder Order Pockets Teacher Supplies for Classroom Organization (Black)","Nezyo","$43.99","495","16","$21775","09/16/2021","...","42","4.7","","15666","Office Products","B09GK5KFWD","https://www.amazon.com/dp/B09GK5KFWD"
"","","35","Samsill 100 Pack Mini Clear Heavyweight Sheet Protectors 5.5 x 8.5 Inch Page Protectors for Mini Ring Binders","Samsill","$11.89","1965","65","$23364","06/28/2018","$4.97","4609","4.8","$6.92","3400","Office Products","B07F4677WJ","https://www.amazon.com/dp/B07F4677WJ"
"","","36","Samsill 50 Pack No Hole Clear Sheet Protectors 8.5 x 11 Inches Heavyweight and Top Loading","Samsill","$12.49","1823","60","$22769","01/07/2020","$5.48","1258","4.7","$7.01","4406","Office Products","B083LN26WD","https://www.amazon.com/dp/B083LN26WD"
"","","37","100 Sheets- 11 Hole A4 Clear Loose Leaf File Sheet Protectors(0.03mm)","JIAKAI","$5.19","129","4","$670","01/02/2018","$1.34","61","3.6","$3.85","32997","Office Products","B078SPNWLW","https://www.amazon.com/dp/B078SPNWLW"
"","","38","Business Source Top Loading Clear Sheet Protectors - Letter-Size - Box of 50 (37519)","Business Source","$6.59","314","10","$2069","12/08/2011","$0.46","211","4.6","$6.13","19081","Office Products","B006K0P0QS","https://www.amazon.com/dp/B006K0P0QS"
"","","39","Craftinova 500 Sheet Protectors 3 Hole Lightweight Binder Sleeves Designed to Protect Frequently Used 8.5 x 11 Papers Acid Free Clear Plastic Design 9.25 x 11.25 Top Loaded   ","craftinova","$24.99","430","14","$10746","02/27/2020","$14.21","899","4.5","$10.78","31919","Office Products","B085963MVT","https://www.amazon.com/dp/B085963MVT"
"","","40","200 Count Mini Poly Sheet Protectors Standard Weight Diamond Clear by Better Office Products 5.5' x 8.5' 200 Pack","Better Office Products","$12.99","747","24","$9704","07/15/2019","$5.9","1893","4.7","$7.09","10322","Office Products","B07VB5L8RD","https://www.amazon.com/dp/B07VB5L8RD"
"","","41","Binditek 50 Pack Sheet Protectors Holds 8.5 x 11' SheetsNon-Glare Page Protectors for 3 Ring Binder Top Loading Paper ProtectorLetter SizeReinforced Holes Acid-Free","Binditek","$5.49","419","13","$2300","11/12/2020","$1.6","290","4.4","$3.89","28478","Office Products","B08NDJ5PWN","https://www.amazon.com/dp/B08NDJ5PWN"
"","","42","25 Count Diamond Clear Extra Heavyweight Sheet Protectors 4 mils Strong by Gold Seal 8.5 x 11' Top Load 25 Pack","GOLD SEAL","$4.88","1604","53","$7828","03/08/2020","$1.08","1222","4.8","$3.80","4522","Office Products","B085PP4D5S","https://www.amazon.com/dp/B085PP4D5S"
"","","43","KTRIO Heavyweight Sheet Protectors 5.5 x 8.5 inch Clear Page Protectors for Mini 3 Ring Binder Plastic Sleeves for Binders Top Loading Paper Protector 60 Pack","KTRIO","$6.99","710","23","$4963","12/15/2021","$2.87","137","4.7","$4.12","10699","Office Products","B09NPX56NV","https://www.amazon.com/dp/B09NPX56NV"
"","","44","Avery Clear Economy Sheet Protectors Top Load 100 Document Protectors (75183)","AVERY","$15.03","131","4","$1969","05/31/2009","$7.64","56","4.6","$7.39","32101","Office Products","B002NEGTG0","https://www.amazon.com/dp/B002NEGTG0"
"","","45","200 Count Diamond Clear Extra Heavyweight Sheet Protectors 4 mils Strong by Gold Seal 8.5 x 11' Top Load 200 Boxed Sheet Protectors","GOLD SEAL","$19.99","233","7","$4658","03/08/2020","$9.96","35","4.5","$10.03","29018","Office Products","B09TV17TDL","https://www.amazon.com/dp/B09TV17TDL"
"","","46","Avery Heavyweight Diamond Clear Sheet Protectors for Mini Binders 8.5' x 5.5' Acid-Free 25ct (77004)","AVERY","$6.49","846","28","$5491","06/30/2010","$2.6","1994","4.7","$3.89","9185","Office Products","B000XKW45Q","https://www.amazon.com/dp/B000XKW45Q"
