"Export time: 8/5/2022, 11:41:21 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","273","2 Packs black mascara Cat eye  Washable Mascara Makeup Volumizing  Buildable Lengthening Mascara Defining Curling Multiplying Eyes Makeup","LGSZGDCN","$9.98","1548","51","$15449","04/14/2021","$6.26","74","3.4","$3.72","168624","Beauty & Personal Care","B09D9Z6GPY","https://www.amazon.com/dp/B09D9Z6GPY"
"","","274","Neutrogena Healthy Lengths Mascara for Stronger Longer Lashes Clump- Smudge- and Flake-Free Mascara with Olive Oil Vitamin E and Rice Protein Black 02.21 oz","Neutrogena","$8.14","580","19","$4721","09/15/2014","$4.57","4909","4.3","$3.57","35392","Beauty & Personal Care","B00ADRHOY0","https://www.amazon.com/dp/B00ADRHOY0"
"","","275","Liaison Mascara Bond Growth Mascara Liaison Baby Hair Wand and Liaison Waxy Brow Waterproof - Vegan Cruelty Free Paraben Free Talc Free Sulfate Free Alcohol Free","Liaison","$61.72","...","...","...","07/08/2021","...","0","","","770168","...","B09919R8ZQ","https://www.amazon.com/dp/B09919R8ZQ"
"","","276","Queen Lashes byfitqueen Vegan and Cruelty free. Waterproof mascara dark black (Pack of 1) 033 Fl Oz pink twisted tube","Generic","$11.98","...","...","...","06/09/2022","...","2","5","","1148853","...","B0B3D62S8J","https://www.amazon.com/dp/B0B3D62S8J"
"","","277","9 Colored Mascara Waterproof and Smudgeproof Longlasting Mascara Cruelty Free & Vegan Volume Mascara","AKwell","$0.90","...","...","...","...","...","0","","","","...","B09PDW9BRW","https://www.amazon.com/dp/B09PDW9BRW"
"","","278","Idun Minerals Mascara Gull - Classic Volumizing Mascara - Bold And Luscious Lashes In A Sweep - Plumped 3D Effect From All Angles - Creamy Vegan Formula - For An Intense Black Colour - Black - 0.39 Oz","IDUN Minerals","$19.20","0","0","$0","08/26/2020","$13.4","11","4.4","$5.80","605797","Beauty & Personal Care","B086Q51G36","https://www.amazon.com/dp/B086Q51G36"
"","","279","Onkessy Colored Mascara Waterproof Long Lasting Colorful Mascara Cruelty Free & Vegan Volume Mascara for Eyelash Eye Makeup 6 Colors Optional","Onkessy","$4.28","0","0","$0","11/19/2021","...","0","","","844236","Beauty & Personal Care","B09LYWT5Q1","https://www.amazon.com/dp/B09LYWT5Q1"
"","","280","Undone Beauty Laze Lash Glaze Volumizing High Gloss Mascara with Curved Brush - Lightweight Formula for Naturally Boosted Separated Eyelashes - Vegan and Cruelty Free - Dark Chocolate","UNDONE BEAUTY","$10.00","0","0","$0","07/23/2019","$5.66","10","3.1","$4.34","682929","Beauty & Personal Care","B0829G3XB6","https://www.amazon.com/dp/B0829G3XB6"
"","","281","Colorful Waterproof Mascara for Eyelashes SetBlue White Black Brown Purple Mascara for eyelashes Long lasting Charming Voluminous Mascara for Women Cruelty Free Vegan Eye Makeup (Black)","Fausga","$0.13","...","...","...","01/27/2022","...","1","4","","996036","...","B09QY6DKRL","https://www.amazon.com/dp/B09QY6DKRL"
"","","282","MS Glamour Makeup Lashes 4D Fiber Cruelty Free and Travel Friendly Diamond Mascara | Vegan and Organic | Lengthen Strengthen and Curl Eyelashes  10 ML","MS MS GLAMOUR","$20.99","0","0","$0","05/20/2021","...","2","5","","1003155","Beauty & Personal Care","B094QM3SYY","https://www.amazon.com/dp/B094QM3SYY"
"","","283","Purple Mascara Colored Mascara Waterproof Long Lasting Volumizing Thick Lengthening Curling Defining Charming Thrive Mascara Makeup Gift for Women Girls","NVLEPTAP","$7.98","...","...","...","07/25/2022","...","0","","","216662","...","B0B2VT8FG7","https://www.amazon.com/dp/B0B2VT8FG7"
"","","284","Julep Length Matters Buildable Lengthening Lash Mascara Black 0.34 Fl Oz","Julep","$18.00","67","2","$1206","04/29/2016","$11.76","521","4.4","$6.24","28488","Beauty & Personal Care","B01I9CCF2G","https://www.amazon.com/dp/B01I9CCF2G"
"","","285","4D Silk Fiber Lash MascaraWaterproof Mascara LongerThickerVoluminous EyelashesLong-LastingNatural Smudge-ProofAdds Length Depth and Glamour Effortlessly(Black)","HUALIJIA","$8.99","148","4","$1331","04/06/2021","$4.73","736","4.2","$4.26","71047","Beauty & Personal Care","B08ZN5SZQP","https://www.amazon.com/dp/B08ZN5SZQP"
"","","286","COVERGIRL Professional All-in-One Curved Brush Mascara Black Brown 210 0.3 Fl Oz (Packaging may vary)","COVERGIRL","$5.39","146","4","$787","08/14/2016","$1.42","1100","4.4","$3.97","15804","Beauty & Personal Care","B00N15MBQM","https://www.amazon.com/dp/B00N15MBQM"
